data at t = 950: tot = 917.92476, non-emp = 2923, mx = 6.66711, top10av = 5.21940
data at t = 960: tot = 933.41601, non-emp = 2925, mx = 6.91586, top10av = 5.36801
data at t = 970: tot = 948.86864, non-emp = 2925, mx = 7.15025, top10av = 5.50953
data at t = 980: tot = 964.31436, non-emp = 2925, mx = 7.37166, top10av = 5.64454
data at t = 990: tot = 979.78403, non-emp = 2925, mx = 7.58137, top10av = 5.77678
data at t = 1000: tot = 995.30729, non-emp = 2925, mx = 7.78055, top10av = 5.90720
data at t = 1010: tot = 1010.91240, non-emp = 2925, mx = 7.97025, top10av = 6.03539
data at t = 1020: tot = 1026.62617, non-emp = 2925, mx = 8.15139, top10av = 6.15881
data at t = 1030: tot = 1042.47396, non-emp = 2925, mx = 8.32481, top10av = 6.27856
data at t = 1040: tot = 1058.47978, non-emp = 2925, mx = 8.49123, top10av = 6.39791
data at t = 1050: tot = 1074.66641, non-emp = 2925, mx = 8.65132, top10av = 6.51338
data at t = 1060: tot = 1091.05546, non-emp = 2925, mx = 8.80565, top10av = 6.62532
data at t = 1070: tot = 1107.66750, non-emp = 2925, mx = 8.95477, top10av = 6.73408
data at t = 1080: tot = 1124.52221, non-emp = 2925, mx = 9.09914, top10av = 6.83997
data at t = 1090: tot = 1141.63845, non-emp = 2925, mx = 9.23920, top10av = 6.94329
winter comes! 
data at t = 1100: tot = 1140.89824, non-emp = 2925, mx = 9.14644, top10av = 6.87949
data at t = 1110: tot = 1122.57091, non-emp = 2925, mx = 8.84029, top10av = 6.66060
data at t = 1120: tot = 1104.84753, non-emp = 2925, mx = 8.55322, top10av = 6.45396
data at t = 1130: tot = 1087.69394, non-emp = 2925, mx = 8.28284, top10av = 6.26125
data at t = 1140: tot = 1071.07934, non-emp = 2925, mx = 8.02742, top10av = 6.08184
data at t = 1150: tot = 1054.97552, non-emp = 2925, mx = 7.78561, top10av = 5.91112
data at t = 1160: tot = 1039.35640, non-emp = 2925, mx = 7.55627, top10av = 5.75222
data at t = 1170: tot = 1024.19775, non-emp = 2925, mx = 7.33844, top10av = 5.60493
data at t = 1180: tot = 1009.47695, non-emp = 2925, mx = 7.13127, top10av = 5.46605
data at t = 1190: tot = 995.17286, non-emp = 2925, mx = 6.93399, top10av = 5.33300
data at t = 1200: tot = 981.26565, non-emp = 2925, mx = 6.74592, top10av = 5.20557
data at t = 1210: tot = 967.73675, non-emp = 2925, mx = 6.56643, top10av = 5.08800
data at t = 1220: tot = 954.56871, non-emp = 2925, mx = 6.39496, top10av = 4.97483
data at t = 1230: tot = 941.74515, non-emp = 2925, mx = 6.23097, top10av = 4.86581
data at t = 1240: tot = 929.25066, non-emp = 2925, mx = 6.07399, top10av = 4.76072
data at t = 1250: tot = 917.07074, non-emp = 2925, mx = 5.92358, top10av = 4.66076
data at t = 1260: tot = 905.19175, non-emp = 2925, mx = 5.77933, top10av = 4.56881
data at t = 1270: tot = 893.60085, non-emp = 2925, mx = 5.64086, top10av = 4.47971
summer comes! 
data at t = 1280: tot = 885.39415, non-emp = 2925, mx = 5.54822, top10av = 4.41508
data at t = 1290: tot = 905.25198, non-emp = 2925, mx = 5.80240, top10av = 4.54043
data at t = 1300: tot = 925.09796, non-emp = 2925, mx = 6.03403, top10av = 4.66805
data at t = 1310: tot = 944.96895, non-emp = 2925, mx = 6.24893, top10av = 4.79257
data at t = 1320: tot = 964.89457, non-emp = 2925, mx = 6.44949, top10av = 4.91607
data at t = 1330: tot = 984.90390, non-emp = 2925, mx = 6.63752, top10av = 5.03628
data at t = 1340: tot = 1005.02620, non-emp = 2925, mx = 6.81457, top10av = 5.15451
data at t = 1350: tot = 1025.29068, non-emp = 2925, mx = 6.98204, top10av = 5.27578
data at t = 1360: tot = 1045.72614, non-emp = 2925, mx = 7.14117, top10av = 5.39573
data at t = 1370: tot = 1066.36069, non-emp = 2925, mx = 7.29303, top10av = 5.51205
data at t = 1380: tot = 1087.22164, non-emp = 2925, mx = 7.43858, top10av = 5.62610
data at t = 1390: tot = 1108.33543, non-emp = 2925, mx = 7.57864, top10av = 5.73934
data at t = 1400: tot = 1129.72762, non-emp = 2925, mx = 7.71393, top10av = 5.84976
data at t = 1410: tot = 1151.42293, non-emp = 2925, mx = 7.84507, top10av = 5.95772
data at t = 1420: tot = 1173.44529, non-emp = 2925, mx = 7.97262, top10av = 6.06351
data at t = 1430: tot = 1195.81797, non-emp = 2925, mx = 8.09707, top10av = 6.16743
data at t = 1440: tot = 1218.56358, non-emp = 2925, mx = 8.21884, top10av = 6.26975
data at t = 1450: tot = 1241.70423, non-emp = 2925, mx = 8.33833, top10av = 6.37071
data at t = 1460: tot = 1265.26154, non-emp = 2925, mx = 8.45589, top10av = 6.47054
winter comes! 
data at t = 1470: tot = 1247.28480, non-emp = 2925, mx = 8.16586, top10av = 6.26291
data at t = 1480: tot = 1229.88170, non-emp = 2925, mx = 7.89498, top10av = 6.06740
data at t = 1490: tot = 1213.01894, non-emp = 2925, mx = 7.64055, top10av = 5.88514
data at t = 1500: tot = 1196.66695, non-emp = 2925, mx = 7.40070, top10av = 5.71612
data at t = 1510: tot = 1180.79883, non-emp = 2925, mx = 7.17403, top10av = 5.55547
data at t = 1520: tot = 1165.38982, non-emp = 2925, mx = 6.95940, top10av = 5.40269
data at t = 1530: tot = 1150.41695, non-emp = 2925, mx = 6.75583, top10av = 5.26466
data at t = 1540: tot = 1135.85882, non-emp = 2925, mx = 6.56249, top10av = 5.13271
data at t = 1550: tot = 1121.69540, non-emp = 2925, mx = 6.37863, top10av = 5.00645
data at t = 1560: tot = 1107.90797, non-emp = 2925, mx = 6.20358, top10av = 4.88553
data at t = 1570: tot = 1094.47893, non-emp = 2925, mx = 6.03673, top10av = 4.76961
data at t = 1580: tot = 1081.39179, non-emp = 2925, mx = 5.87753, top10av = 4.65840
